source,target,weight
thegrefg,valorant,57456
thegrefg,tvander,40690
thegrefg,xqcow,24128
ibai,thegrefg,700256
ibai,rubius,339121
ibai,juansguarnizo,206106
ibai,illojuan,170820
ibai,mixwell,117632
ibai,knekro,96997
ibai,slakun10,78099
ibai,littleragergirl,66699
ibai,valorant,63477
ibai,lvpes2,62479
ibai,jelty,61537
ibai,tvander,59148
ibai,reventxz,57187
ibai,karchez,50411
ibai,nissaxter,49557
ibai,papigavitv,49147
ibai,th3antonio,47116
ibai,lolitofdez,45445
ibai,rubenmartinweb,42815
ibai,spursito,42203
ibai,reborn_live,39174
ibai,luzu,38777
ibai,papomc,38112
ibai,sugussusana,36219
ibai,keznit1,35463
ibai,lakshartnia,34614
ibai,mayichi,34120
ibai,imantado,31624
ibai,jankos,31488
ibai,peereira7,30664
ibai,robleis,29531
ibai,momoladinastia,28871
ibai,simpson_mania04,28328
ibai,jaggerprincesa,27958
ibai,redbullbatalla,27685
ibai,l3tcraft,27378
ibai,nilojeda,27373
ibai,polispol1,27064
ibai,perxitaa,26762
ibai,xqcow,26662
ibai,staryuuki,26458
ibai,menostrece,25953
ibai,llobeti4,25718
ibai,snoodyboo,25564
ibai,soyfelipez360,25460
ibai,shroud,24252
ibai,sirolopez56,23221
ibai,manutegaming,22861
ibai,kidi,21864
ibai,mrsoki,21607
ibai,sirmaza,21356
ibai,jujalag,21067
ibai,loltyler1,20042
ibai,ricoy23,20016
ibai,ijenz,19953
ibai,josedeodo,19122
ibai,rocketleague,18597
ibai,paracetamor,18336
ibai,markitonavaja,17806
ibai,silithur,17801
ibai,litkillah,17477
ibai,pompeyo4,17269
ibai,kyedae,17240
ibai,shahzam,16763
ibai,thedanirep,16590
ibai,pgod,16302
ibai,k1ng,15468
ibai,ninja,14414
ibai,kamet0,14000
ibai,nakoo_fn,13926
ibai,starwraith,13797
ibai,kolderiu,13566
ibai,sinatraa,12886
ibai,mym_alkapone,12827
ibai,tfue,12789
ibai,isvolcano,12657
ibai,putupau,12402
ibai,surgicalgoblin,11441
ibai,lol_nemesis,10551
ibai,thebausffs,10489
ibai,komanche,10422
ibai,nimuvt,10329
ibai,rivers_gg,10289
valorant,xqcow,138243
valorant,wardell,81744
valorant,valorant_br,35485
valorant,zackrawrr,16276
valorant,valorant_esports_tr,12358
valorant,vgbootcamp,12079
valorant,xandfps,10441
xqcow,zackrawrr,79757
shroud,valorant,258097
shroud,xqcow,244649
shroud,summit1g,213604
shroud,tarik,145881
shroud,sodapoppin,107180
shroud,sinatraa,97074
shroud,subroza,69516
shroud,trainwreckstv,65538
shroud,tfue,58717
shroud,zackrawrr,58333
shroud,wardell,56409
shroud,tsm_imperialhal,51883
shroud,sykkuno,45296
shroud,symfuhny,40817
shroud,sypherpk,38945
shroud,slushpuppy,35332
shroud,tenz,35151
shroud,streamerhouse,29155
shroud,sigma,25821
shroud,willerz,25688
shroud,sick_cs,24506
shroud,smoke,23234
shroud,snip3down,22977
shroud,swagg,22425
shroud,sneakylol,21872
shroud,sweetdreams,21012
shroud,tectone,20057
shroud,topsonous,18681
shroud,thegameawards,18392
shroud,timmac,17334
shroud,thegrefg,16989
shroud,teepee,16456
shroud,tfblade,15891
shroud,thebausffs,15461
shroud,ssaab,15358
