id,label,size
thegrefg,TheGrefg,1920715
ibai,ibai,1486971
valorant,VALORANT,1267142
xqcow,xQcOW,1242933
shroud,shroud,1014273
amouranth,Amouranth,815934
rubius,Rubius,744612
auronplay,auronplay,704698
sypherpk,SypherPK,663876
summit1g,summit1g,576241
pestily,Pestily,572808
adinross,AdinRoss,541753
ninja,Ninja,540140
loltyler1,loltyler1,524386
blastpremier,BLASTPremier,522770
juansguarnizo,juansguarnizo,496136
n3koglai,n3koglai,488833
nickmercs,NICKMERCS,476510
disguisedtoast,DisguisedToast,472085
kyedae,Kyedae,466895
halo,Halo,463800
gaules,Gaules,462697
ranboolive,RanbooLive,459462
montanablack88,MontanaBlack88,456777
esl_csgo,ESL_CSGO,451477
gotaga,Gotaga,426184
coscu,coscu,424306
rocketleague,RocketLeague,421508
mizkif,Mizkif,420485
casimito,casimito,416210
tfue,Tfue,415732
sodapoppin,sodapoppin,414763
lvndmark,LVNDMARK,388326
trymacs,Trymacs,372611
weplaycsgo_ru,WePlayCSGO_ru,370349
hasanabi,HasanAbi,369553
trainwreckstv,Trainwreckstv,368893
faker,Faker,353093
tarik,tarik,349218
castro_1021,Castro_1021,349053
pokimane,pokimane,339034
wilbursoot,WilburSoot,338461
cloakzy,cloakzy,333936
tubbo,Tubbo,322808
buster,buster,320290
symfuhny,Symfuhny,320241
iitztimmy,iiTzTimmy,320229
tsm_imperialhal,TSM_ImperialHal,317518
moistcr1tikal,moistcr1tikal,312475
shahzam,ShahZaM,311090
sinatraa,sinatraa,309108
aceu,aceu,307149
swagg,Swagg,304591
dota2mc_ru,dota2mc_ru,296744
sykkuno,Sykkuno,293863
eliasn97,eliasn97,293564
kamet0,Kamet0,292619
domingo,Domingo,292110
clix,Clix,284759
loud_coringa,loud_coringa,282883
lirik,LIRIK,282647
alanzoka,alanzoka,277729
elmariana,ElMariana,277534
zackrawrr,zackrawrr,277289
jankos,Jankos,271886
nickeh30,NickEh30,262203
easportsfifa,EASPORTSFIFA,261833
illojuan,IlloJuan,257012
squeezie,Squeezie,255000
aydan,Aydan,254352
chess,Chess,251070
amar,Amar,249988
stylishnoob4,stylishnoob4,249452
tommyinnit,tommyinnit,247069
philza,Philza,246499
dota2ruhub,Dota2RuHub,244372
fps_shaka,fps_shaka,243970
elraenn,Elraenn,238448
mixwell,Mixwell,237731
jelty,Jelty,236961
k3soju,k3soju,234491
evelone192,Evelone192,231986
gronkh,GRONKH,231127
dreamleague,DreamLeague,229818
battlestategames,BattlestateGames,229800
imkaicenat,ImKaiCenat,229037
georgenotfound,GeorgeNotFound,226979
myth,Myth,223077
thegameawards,thegameawards,221055
scump,scump,219731
shivfps,ShivFPS,218486
quackity,Quackity,216558
roshtein,ROSHTEIN,212179
esl_csgob,ESL_CSGOb,211498
huskerrs,HusKerrs,208387
gmhikaru,GMHikaru,205725
bugha,Bugha,202883
elxokas,elxokas,202407
cohhcarnage,CohhCarnage,199870
karlnetwork,karlnetwork,198077
sommerset,Sommerset,197873
tectone,Tectone,196450
asunaweeb,AsunaWEEB,195984
elspreen,ElSpreen,191202
rtainjapan,RTAinJapan,190055
fextralife,Fextralife,187001
beniju03,BENIJU03,186776
smallant,SmallAnt,186698
axozer,aXoZer,186190
ogadotapit,OGADotaPIT,186183
topsonous,Topsonous,185343
ratirl,RATIRL,185339
pow3rtv,POW3Rtv,184754
baiano,Baiano,181539
teepee,TeePee,181364
doublelift,Doublelift,180922
ijenz,IJenz,179750
therealknossi,TheRealKnossi,177405
recrent,Recrent,177192
subroza,Subroza,175325
